Codigo,Status_Rastreio,Data,Local
PS290365926BR,Conferido,28/02/2019, SAO LUIS/MA
PS290252456BR,Objeto entregue ao destinatário,28/02/2019, Jatauba/PE
PS290160746BR,Objeto entregue ao destinatário,27/02/2019, SALVADOR/BA
PS290123173BR,Objeto entregue ao destinatário,27/02/2019, VIANA/ES
PS290328605BR,Objeto entregue ao destinatário,25/02/2019, BELO HORIZONTE/MG
PS290489038BR,Objeto entregue ao destinatário,22/02/2019, MAIRINQUE/SP
PS290384531BR,Objeto entregue ao destinatário,01/03/2019, FORTALEZA/CE
PS290600451BR,Objeto entregue ao destinatário,25/02/2019, CAETE/MG
PS290124752BR,Objeto entregue ao destinatário,25/02/2019, Contagem/MG
PS290439266BR,Objeto entregue ao destinatário,25/02/2019, CAXIAS DO SUL/RS
PS290239790BR,Objeto entregue ao destinatário,25/02/2019, LAGES/SC
PS290298651BR,Objeto entregue ao destinatário,23/02/2019, UBERLANDIA/MG
PS290392325BR,Objeto entregue ao destinatário,27/02/2019, CRISSIUMAL/RS
PS290135888BR,Objeto entregue ao destinatário,23/02/2019, UBATUBA/SP
OG355401474BR,Objeto entregue ao destinatário,21/02/2019, SAO BERNARDO DO CAMPO/SP
PS290293447BR,Objeto entregue ao destinatário,22/02/2019, BRASILIA/DF
PS290377385BR,Objeto entregue ao destinatário,22/02/2019, CANOINHAS/SC
PS290188191BR,Objeto entregue ao destinatário,25/02/2019, GUARAPUAVA/PR
PS290388578BR,Objeto encaminhado,27/02/2019, BELEM/PA
PS290210411BR,Objeto entregue ao destinatário,22/02/2019, IGARATA/SP
PS290537025BR,Objeto entregue ao destinatário,22/02/2019, CURITIBA/PR
PS290363735BR,Objeto entregue ao destinatário,23/02/2019, Rio De Janeiro/RJ
PS290536444BR,Objeto entregue ao destinatário,27/02/2019, Curitiba/PR
OG355438823BR,Objeto entregue ao destinatário,23/02/2019, SAO PAULO/SP
PP965073647BR,Objeto entregue ao destinatário,22/02/2019, BRASILIA/DF
PS290351873BR,Objeto entregue ao destinatário,01/03/2019, FORTALEZA/CE
PS290297506BR,Objeto entregue ao destinatário,25/02/2019, MONTES CLAROS/MG
PS290167435BR,Objeto entregue ao destinatário,25/02/2019, Wenceslau Braz/PR
PS290317727BR,Objeto entregue ao destinatário,25/02/2019, BRASILIA/DF
PS290209665BR,Objeto entregue ao destinatário,27/02/2019, Irara/BA
PS290220921BR,Objeto entregue ao destinatário,25/02/2019, APUCARANA/PR
PS290255996BR,Objeto entregue ao destinatário,21/02/2019, ARARAQUARA/SP
PP965142360BR,Objeto entregue ao destinatário,25/02/2019, Campina Do Monte Alegre/SP
PS290446885BR,Objeto entregue ao destinatário,22/02/2019, Rio De Janeiro/RJ
PS290152170BR,Objeto entregue ao destinatário,28/02/2019, NATAL/RN
PS290279459BR,Objeto entregue ao destinatário,25/02/2019, BELO HORIZONTE/MG
PS290120720BR,Objeto entregue ao destinatário,26/02/2019, Rio De Janeiro/RJ
PS290134485BR,Objeto entregue ao destinatário,25/02/2019, CAETE/MG
PP965161298BR,Objeto entregue ao destinatário,22/02/2019, MACAE/RJ
PS290123350BR,Objeto encaminhado,21/02/2019, CAJAMAR/SP
OG673435985BR,Objeto entregue ao destinatário,22/02/2019, SAO BERNARDO DO CAMPO/SP
OG673421005BR,Objeto entregue ao destinatário,21/02/2019, Sao Paulo/SP
PS290276347BR,Objeto entregue ao destinatário,26/02/2019, Sao Goncalo/RJ
PS290116552BR,Objeto entregue ao destinatário,25/02/2019, RIO DE JANEIRO/RJ
OG355572575BR,Objeto entregue ao destinatário,21/02/2019, Sao Paulo/SP
PS290333747BR,Objeto entregue ao destinatário,22/02/2019, Rio De Janeiro/RJ
PS290536651BR,Objeto entregue ao destinatário,25/02/2019, TATUI/SP
PS290393697BR,Objeto entregue ao destinatário,22/02/2019, BELO HORIZONTE/MG
PS290150995BR,Objeto entregue ao destinatário,25/02/2019, SANTA ROSA/RS
PS290176335BR,Objeto entregue ao destinatário,25/02/2019, NATAL/RN
PS290281996BR,Objeto entregue ao destinatário,26/02/2019, Porto Murtinho/MS
PS290464861BR,Objeto entregue ao destinatário,23/02/2019, Lavras/MG
PS290397844BR,Objeto entregue ao destinatário,25/02/2019, Niteroi/RJ
PS290400367BR,Objeto entregue ao destinatário,28/02/2019, SAO CARLOS/SP
PS290514421BR,Objeto entregue ao destinatário,26/02/2019, SAO JOSE/SC
